recall_at	dataset	method	point	recall	qps
200	hotpotqa	sindi	2000	0.724395	108.513
200	hotpotqa	sindi	3000	0.76993	79.6232
200	hotpotqa	sindi	4000	0.799445	63.1665
200	hotpotqa	sindi	6000	0.835315	44.7497
200	hotpotqa	sindi	10000	0.874145	28.2796
200	hotpotqa	sindi	20000	0.915405	14.8579
200	hotpotqa	hnsw_sindi	200	0.71854	67.0146
200	hotpotqa	hnsw_sindi	300	0.824825	54.8439
200	hotpotqa	hnsw_sindi	400	0.881725	48.3124
200	hotpotqa	hnsw_sindi	600	0.93623	35.032
200	hotpotqa	hnsw_sindi	1000	0.9723	23.022
200	hotpotqa	fhg	200	0.814845	90.6876
200	hotpotqa	fhg	400	0.88368	51.1279
200	hotpotqa	fhg	600	0.914675	36.1474
200	hotpotqa	fhg	1000	0.94225	23.3454
200	hotpotqa	fhg	2000	0.96661	12.9491
200	hotpotqa	uhg	200	0.872425	72.0313
200	hotpotqa	uhg	400	0.938155	39.5909
200	hotpotqa	uhg	600	0.960835	27.7189
200	hotpotqa	uhg	1000	0.978695	17.7164
200	hotpotqa	uhg	2000	0.990805	9.69309
200	dbpedia-entity	hnsw	200	0.568062	129.171
200	dbpedia-entity	hnsw	400	0.737152	68.6065
200	dbpedia-entity	hnsw	600	0.806991	47.7642
200	dbpedia-entity	hnsw	1000	0.869829	29.8973
200	dbpedia-entity	hnsw	1600	0.910867	19.6415
200	dbpedia-entity	hnsw	2000	0.925632	16.0048
200	dbpedia-entity	sindi	2000	0.608769	143.32
200	dbpedia-entity	sindi	3000	0.655118	101.458
200	dbpedia-entity	sindi	4000	0.685493	78.7861
200	dbpedia-entity	sindi	6000	0.724593	54.639
200	dbpedia-entity	sindi	10000	0.767366	34.6164
200	dbpedia-entity	sindi	20000	0.810546	18.8648
200	dbpedia-entity	hnsw_sindi	200	0.731328	105.769
200	dbpedia-entity	hnsw_sindi	300	0.832602	75.1867
200	dbpedia-entity	hnsw_sindi	400	0.881552	58.7049
